,essay_content
10,"Do you know how to make friends with a group of people? Let me tell you the steps about making friends with the group. Maybe it's helpful to you. First, you need to know what kind of group they are. If people of the group are shy, never ask them ""Why don't you talk? "" ""Why are you quiet? "" or ""Why do you look shy? "" They don't like such questions. Next, remember that each group is different. They may use different words, like different things or have different ways of ""hanging out"". Then, the important thing is that you should try to be outgoing. If you are outgoing, you would become very popular. Remember, nobody wants to make friends with a shy person. Finally, find a right topic talk with the group. For example, you can talk with them about the weather, the news, their hobbies or their school life."
11,"Sometimes people come into your life and you come to realize that they were meant to be there. You never know who these people may be (possibly your roommate, neighbor, co-worker, long-lost friend, lover, or even a complete stranger) , but when you lock your eyes on them, you know immediately that they will affect your life in some profound way. And sometimes things happen to you that may seem horrible, painful, and unfair at first, but in reflection you find that without overcoming those difficulties you would have never realized your potential, strength, willpower or heart. Everything happens for a reason. Nothing happens by chance or by means of good luck. Illness, injury, love, brilliant achievement, and sheer stupidity all happen to test the limits of your soul. Without these small tests, whatever they may be, life would be like a smooth, straight, flat road to nowhere. The people you meet who affect your life, and the success and downfalls you experience, help to make of who you are and who you become. Even the bad experiences can be learned from. In fact, they are probably the most important ones. If someone hurts you, betrays you, or breaks your heart, forgive them, for they have helped you learn about trust and the importance of being careful when you open your heart. If someone loves you, love them back, not only because they love you, but because in a way, they are teaching you to love and how to open your heart and eyes to things. Make every day count. Appreciate every moment and take from those moments everything that you possibly can, for you may never be able to experience it again. Talk to people that you have never talked to before, and attentively listen. Tell yourself you great and believe in yourself, for if you don't believe in yourself, it will be hard for others to believe in you. You can make of your life anything you wish. Take care of your own life, make it better and live it with no regrets. Most importantly, if you love someone, tell him or her, for you never know what tomorrow may have in store."
12,"Something interesting may happen every day. I will tell you one. When I went to lunch one day, I noticed an old man sitting on a park bench crying. I was surprised, so I stopped and asked him what was wrong. He told me, ""I have a lot of money and I have a 22-year-old wife at home. She is very beautiful. She is kind to me and looks after me well. Every morning she wakes me up and make me pancakes, sausage, and coffee. "" I continued, ""Well, then why are you crying? "" He added, ""She makes me homemade soup and my favorite biscuits for lunch, cleans the house and then watches sports shows with me for the rest of the afternoon. "" I said, ""Well, why are you crying? "" He said, ""For dinner she makes me a meal with wine and my favorite dessert and then we watch TV together and talk with each other happily. I asked, ""Well then, why in the world are you crying? "" He replied, ""I can't remember where I live. And I don't know who I am. """
13,"Once upon a time there were three little pigs. One day their mother said to them, ""You are too big to live here. You need to build your own houses. But make sure that the wolf can't catch you. ""The first little pig built his house with grass. It was the easiest thing to do. The second little pig built his house with sticks, which was a little bit stronger than the grass house. The third little pig built his house with bricks, which was the strongest but took him a lot of time. One day the wolf came and saw the first little pig in his grass house. The wolf pushed down the house and ate the first little pig. Then the wolf came to the stick house and pushed down that house too. Then he ate the second little pig. The wolf then came to the house of bricks, but he could not push down that brick house. The wolf climbed up to the roof and tried to get in through the chimney. The smart little pig fired and boiled water on it. When the wolf fell down, he fell into the hot water and died."
14,"Sama el-Masry is 42 years old. She is a famous belly dancer in Egypt. She is also an actress. She acted in a movie about the bad treatment of women workers. But she was put in prison and fined 300, 000 Egyptian pounds ($18, 500) on Saturday. The police said she would be in prison for three years. She posted belly dance videos on TikTok. The police considered the videos ""immoral"". A women's rights lawyer in Egypt said it was difficult for the country to keep society safe. She said changes in science and technology brought many problems."
15,"Mia has written an article about ""the Mona Lisa"" for the school newspaper. ""The Mona Lisa"" is probably the most famous painting in the world. Leonardo Da Vinci began painting the Mona Lisa in 1502. In 1516 he moved from Italy to France and the king of France bought the painting. The painting became well-known in the mid-19th century. The Mona Lisa's smile was so mysterious. The missing eyebrows and eyelashes made the Mona Lisa even more mysterious. The Mona Lisa has been stolen and damaged several times. In 1911 a man working for the Lourve Museum stole the painting because he believed that the Mona Lisa belonged to Italy. He kept the painting in his flat for two years. The police caught him when he tried to sell it. In 1913 Italy returned the painting to France. Now, the Mona Lisa is kept behind bullet-proof glass in the Louvre Museum. About 6 million people view the painting each year."
16,"Brooke and her best friend Ella were so excited to go to Fun World. Fun World was a cool amusement park in town. After waiting for weeks, the day finally came! When they got to the park, they smelled the cotton candy and heard the screams from the roller coaster. There was so much to see and do! First, they rode the Ferris wheel. They could see the whole park from the top of it! Next, they went around on the carousel. Then, Ella really wanted to ride the roller coaster. But Brooke was a little scared. It went really fast and she had never been on one before. But she decided to be brave and go on it with Ella. Her stomach felt like it had butterflies in it when the coaster took them up the hill. Slowly, they reached the top and started to go down. Brooke screamed a little, but it was a happy scream. The coaster was so much fun! Brooke and Ella rode it two more times before leaving! And, they had some cotton candy too. It was a great day at Fun World! Brooke and Ella were sad when it was time to go home. But, Brooke's sixteenth birthday was just two months away. And, she knew exactly where she wanted to go to celebrate it, with Ella again of course. They'd see Fun World again soon."
17,"Black Swan Green By David Mitchell Selected as one of the ten best books of the year by Time magazine! Named one of the best books of the year by The Washington Post Book World! Main idea This story is about Jason Taylor's life. He is a 13-year-old boy living in England during the Cold War in 1982. He gets into some misadventures. But he has grown up from those things. Recommended by: Miriam: ""It's one of the most touching books I've ever read. I learned a lot from the boy. "" Only $4. 99 each! BUY NOW!"
18,"I love cherry blossoms. When spring comes around, I always visit festivals for the lovely flowers. The ones in Japan, China, and Republic of Korea are wonderful. This year, I'll be at the National Cherry Blossom Festival in Washington, DC. There are 1. 5 million visitors there every year. I can't wait to visit the city with over 3, 700 cherry trees. Some cherry blossoms are from the original 3, 000 trees from 1912. They were a gift from the mayor of Tokyo. They stand for the friendship between Japan and the US. The festival is three weeks long and full of fun events. It starts with an exciting kite festival, and I plan to join in the kite flying competition. I won't have time to do everything. However, I won't miss taking a bike ride. I won't miss the traditional shows with Japanese artists, either. I'll also be there when they light the Japanese stone lantern. It was another gift from Japan and is almost 400 years old. There's so much beauty and fun at the National Cherry Blossom Festival."
19,"Mr White's family decided to repair their home. Mr White bought the home two and a half years ago. Since the kids were growing up, he and his wife wanted to make some changes to the house. They decided to knock down their living room wall to open up the space. When the wooden walls were removed, they were shocked to find a lizard stuck in the small space between the walls. The lizard's foot was stuck by a nail, which was hammered from the other side of the wall. Mrs White reminded him that they hammered a nail to hang up their kids photo. However, they questioned how the lizard had stayed alive so long without moving from that place. So Mr White stopped his work and watched the lizard: what has it been doing? What and how has it been eating? Later, he didn't know from where another lizard appeared carrying food to the stuck lizard's mouth. That was a real surprise! This act was heartwarming, and he was moved deeply by the little animal. The free lizard had been feeding the stuck one for more than two years! The lizard carried the hope of survival, even in a difficult situation. Both lizards had never-ending hope for each other and carried their hearts with love and care. Such love, a beautiful love! Such love happened with this tiny animal. Why can't we humans always carry that kind of love in our hearts? Life is full of all kinds of difficulties. What we can do is to give our hands to the one in need and share our love. Sharing is caring."
20,"Birbal was a clever man in the old times. Everyone liked him. When they were in trouble, they asked Birbal for help. The king loved jewelry very much. He had many gold rings, pearls and diamonds. His favorite ring was the one with a large diamond. One day, the king wanted to wear his favorite ring. But it was lost. The king then asked Birbal to help him. Birbal called the eight servants in the room. He gave each of them a stick of the same size. And he asked them to come back with it the next day. He said, ""The stick of the thief will become longer by one inch at night. ＂ The next morning, the eight servants stood in a line with their sticks. Birbal caught one of them and took him to the king. The king was surprised. Birbal said, ""The thief cut his stick by an inch, because he was afraid it would grow. """
21,"You may feel interested in students in other countries. Do they have so much homework? What do they do in their free time? People did a survey in China, Japan, South Korea and the US last year. Here are the results. Who study the hardest? Chinese students spend the most time in studying. About half of Chinese students spend more than two hours on their homework every day. Who sleep most often in class? Japanese students fall asleep in class most often. About 45％ of them sometimes doze off in class. It's 32% in South Korea, 21% in the US and 5% in China. Who are the most distracted? American students are the most active in class, but also the most distracted. 64. 2% of them chat with classmates in class. 46. 9% of them eat something in class, and 38. 9% of them send e-mails or read other books in class. What do they do after school? In their free time, most Chinese students do homework or surf the Internet. Most American students hang out with their friends. Most Japanese students do exercise. Most South Korean students watch TV."
22,"Class President Quinn was running for the class president. His best friend Zack helped him. They hung posters up in the hallways. They wrote, ""Quinn Should Win! "" A student walked by as they hung one poster on the door to the library. He read the poster and asked, ""Why should you win? "" and then walked away. Quinn had never thought about why before. He knew he was popular and lots of students would vote for him. ""I think you should have some promises, "" Zack said. Quinn thought for a while and said, ""How about putting a new gumball machine in the boys' room? "" At Quinn's home, Quinn and Zack made up posters that said, ""Vote Quinn: New gumball machine in the boys' room. Everyone will play football at noon! "" The next day at school, some of Quinn's friends avoided him, especially the girls. He asked Dave if he wanted to play football at noon. Dave answered, ""Yes. Your Majesty. "" ""What's the matter with everyone? "" Quinn said to himself. ""I'll tell you what's wrong, "" said a girl behind him. ""The girls don't care whether you're going to put a gumball machine in the boys' room. And nobody wants to be told they have to play football at noon. Nobody likes your promises because you only made promises about what you like. "" Quinn thought about what he could do. Then he made a survey to know what his classmates wanted. He and Zack made up new posters. Quinn's friends started talking to him again, and the next week Quinn won the election. Quinn realized that listening to your classmates was the most important thing a class president should do."
23,"Dear Meimei, I'm glad to hear from you. But I'm sorry to know that you don't have a good time these days. From your letter I know you are very lonely. You don't know how to chat with your classmates because you do not share the same interests. Here are some suggestions for you. To make friends, you must first be friendly. Everyone likes a friendly girl with a smile. Second, give your classmates a compliment. Say something nice about their styles or skills. Then ask a question to start chatting. Third, find out what interests them. Talk about that even if it doesn't interest you. Ask your classmates questions and let them be the experts. The conversation is more important than the topic. Finally, talk to more people. Say hello to someone new. Sit with different groups of people in the cafeteria. If one person doesn't want to talk with you, then find someone else to chat with. Don't just think about being lonely. Do something about it! Smile and say hello to people even if they aren't your friends. Doing things differently will help produce different results. Yours, Jordon"
24,"Edinburgh, the capital city of Scotland, is famous for its festivals. There are twelve festivals around the year. Half of them are celebrated during the months of July and August. Thousands of people visit it. Here are some of the events you can enjoy in Edinburgh. Edinburgh International FestivalThe first Edinburgh International Festival was planned during World War II for artists to find hope and communicate with each other. Later, actors, musicians, dancers and singers from all over the world came over to give performances. Edinburgh Festival FringeThis is one of the largest art festivals in the world. There are thousands of shows across the city. It was first held as a supplement to the Edinburgh International Festival. Then it developed very well. Anyone can perform in the festival and many artists take part in it. During the festival, you can go to the Royal Mile to watch performances for free. Edinburgh International Book FestivalIt began in 1983. It is the largest book festival in the world. It is held every year in Charlotte Square Gardens in the centre of Edinburgh. There are over 700 events for kids and adults who love books. You can meet many writers, talk to them or ask them to sign a book. Kids also like it because they can listen to stories and watch artists draw pictures of the stories."
25,"Karachi is a city in Pakistan. It is one of the hottest places in the world. In 2015, more than 1, 000 people died there because of the hot weather. ""We need to do something about it, "" Shahzad Qureshi told TIME for KIDS. He started a group called Urban Forest. It planted about 1, 300 trees in a park in Karachi. Trees help cool the air. They are very helpful in cities. The group used a special way to help the trees grow quickly. In three years, the trees grew to be 30 feet tall. Qureshi hopes the park will one day become a forest of 50, 000 trees. Since 2015, Qureshi and his team have planted eight urban forests in Pakistan. Six are in Karachi. The trees also give homes to birds, insects, and other animals. Some trees grow fruit for people and animals to eat. In 2017, Qureshi helped plant an urban forest at Karachi Grammar School. First, he met with students to tell them how trees help the earth. Then students planted small trees in the playground. Now, the trees are very attractive to birds and colorful butterflies. Students go outside during science class to study the forest."
26,"London is one of the most wonderful cities in the world. It is very large and beautiful. The Thames River runs through the city from west to east. So the city has two parts: the South and the North. In the North, there are important buildings, shops, big parks and interesting places. The weather in London is fine all year round. In winter it is not very cold and in summer it is not very hot because the city is near the sea. People used to say London was a foggy city and it often rained. It was true. Several years ago, when I was in London, I met one of the thickest fogs in years. You could hardly see your hand in front of your face. Cars and buses moved along with their lights on. When evening fell, the weather got even worse. The fog was as thick as milk. All the buses and cars stopped. I had an important meeting on the other side of the town, but it was impossible to find a bus. I bad to get there on foot. Of course, I arrived very late. I really felt awful that day. But now the environment in London has become better and better. It is not called a foggy city again."
27,"Jason was an old porter. He worked at the station. Every day he was busy carrying heavy things for the people. He was careful with his work. He was kind to everyone. He was always ready to help others. One morning, he stood in the station. He was waiting for the train. Just then he saw a man running towards the trains with a big bag in his hand. ""No train is starting. Why is he in such a hurry? "" the old man thought to himself. He went up to the man and asked, ""May I help you? ""As soon as the man saw the porter, he stopped running. ""Can I catch the 10: 35 train to London? "" the man asked. He looked worried. The old porter looked at him for a few seconds and said, ""Well, sir. I'd like to help you, but I can't answer your question because I don't know how fast you can run. "" Then he explained to the man, ""The 10: 35 train to London left five minutes ago. Can you run fast enough to catch it? """
28,"Regularly reduces your risk of skin cancer. Anything over 30 minutes in the sun needs protection of some kind of sunscreen, especially children who are more susceptible to sunburn. You should try to use the right sunscreen for your skin. The more natural your sunscreen is, the better it will be for your skin. You can use a kind of sunscreen with the SPF of at least 30. You also need to apply it every few hours while outdoors. Some newer sunscreen has SPF 45 or higher. Applying sunscreen only once is not enough. You should also reapply sunscreen after you've been in the water or if you've been sweating. The more sunburn you experience in your life, the higher the risk of getting skin cancer will be in the future. This idea is right especially when you are younger. Although sunscreen stops UV radiation, many products contain chemicals that increase your risk of getting skin cancer. Therefore, you don't have to use too much of it if sunscreen is less needed. Sunscreen also stops the production of vitamin D in your skin. However, vitamin D is necessary and it has some advantages. For example, it is good for our bones. Therefore, it's a good idea to eat more foods which contain vitamin D. You should apply some sunscreen on your skin if you need to spend some time in the sun. Sunscreen protects your skin from harmful UV radiation. Applying sunscreen"
29,"Radio interview A radio presenter is interviewing Jorvid, a student from Tajikistan. This is a translation from Chinese. I: On our show this morning, we're very pleased to have Jorvid from Tajikistan. He's 23, and he's studying Chinese here in Beijing. Jorvid, perhaps you can start by. telling us how long you've been in China, and why you came. J: I've been in China for about two years. I was sent here by my government. I work for the Tajik Customs Service, and when l go back to Tajikistan I'II be working on the border with China. Of course, that means I'II need to speak Chinese and that's why I've come to Beijing to study. I: What do most Chinese people say when you tell them you are from Tajikistan? J: Well, many of them have never heard of Tajikistan. I have brown hair and blue eyes, so when they meet me for the first time, people often ask, ""Are you from America? "" or ""Are you from Europe? "" Also. people often try to speak to me in English. A lot of Chinese people think that all ""foreigners"" must be able to speak English. But I don't speak any English at all. I: Can you tell us a little bit about Tajikistan? J: Sure. It's a country in Central Asia, west of China and north of Afghanistan. We became an independent country in 1991, when the Soviet Union disintegrated. But we Tajiks have quite a long history. More than a thousand years ago, a Tajik king called Somoni ruled a large area of Central Asia."
